,year,departamento,S,V,I,I2,total_animales,v,A
179,2021.0,GUAVIARE,90710.0,24872.0,394202.1338333333,263.8661666666667,510048.0,99.52781112444978,115700.0
180,2018.0,GUAVIARE,53089.0,29262.0,323627.1338333333,263.8661666666667,406242.0,88.63271574056303,82351.0
181,2019.0,GUAVIARE,66594.0,29262.0,347513.1338333333,263.8661666666667,443633.0,88.63271574056303,95856.0
182,2022.0,GUAVIARE,103160.0,29262.0,401845.1338333333,263.8661666666667,534531.0,88.63271574056303,132422.0
183,2011.0,HUILA,44744.399999999994,54078.0,334607.62659999996,405.9734,433836.0,92.11664906483153,98822.4
184,2012.0,HUILA,48060.399999999994,50762.0,334279.076,734.524,433836.0,73.7487469308887,98822.4
185,2013.0,HUILA,54857.399999999994,43965.0,334671.153,342.447,433836.0,70.85871772555846,98822.4
186,2014.0,HUILA,52188.399999999994,46634.0,334480.57379999995,533.0262,433836.0,94.85588755771617,98822.4
187,2015.0,HUILA,53662.399999999994,45160.0,334810.11699999997,203.483,433836.0,94.88590998865403,98822.4
188,2016.0,HUILA,51052.0,33490.0,330670.2516,33.748400000000004,415246.0,94.23450294043164,86591.0
189,2021.0,HUILA,85462.0,21423.0,344086.46633333334,375.5336666666667,451347.0,96.84462727724787,107583.0
190,2018.0,HUILA,52249.0,42216.0,316879.46633333334,375.5336666666667,411720.0,88.22072021218978,94465.0
191,2019.0,HUILA,56649.0,42216.0,333346.46633333334,375.5336666666667,432587.0,88.22072021218978,98865.0
192,2022.0,HUILA,64392.0,42216.0,351296.46633333334,375.5336666666667,458280.0,88.22072021218978,106608.0
193,2011.0,MAGDALENA,154225.8,159480.0,1084872.9541999998,181.6458,1398760.4,90.43892480435522,313705.8
194,2012.0,MAGDALENA,160179.8,153526.0,1080933.3247999998,4121.2752,1398760.4,99.4906423350096,313705.8
195,2013.0,MAGDALENA,164192.8,149513.0,1084623.8116,430.7884,1398760.4,97.94625543734605,313705.8
196,2014.0,MAGDALENA,162378.8,151327.0,1085010.9256,43.6744,1398760.4,99.79622253290775,313705.8
197,2015.0,MAGDALENA,172906.8,140799.0,1084986.1105999998,68.4894,1398760.4,99.35082804705085,313705.8
198,2016.0,MAGDALENA,107826.0,138174.0,961729.259,34.741,1207764.0,99.4107616930349,246819.0
199,2021.0,MAGDALENA,250147.0,90063.0,1133009.0,0.0,1473219.0,98.43273549952457,341644.0
200,2018.0,MAGDALENA,149265.2857142857,140411.7142857143,1069297.7694,697.2306,1359672.0,97.83805290703272,289677.0
201,2019.0,MAGDALENA,161654.2857142857,140411.7142857143,1039351.7694,697.2306,1342115.0,97.83805290703272,302066.0
202,2022.0,MAGDALENA,247911.2857142857,140411.7142857143,1222011.7694,697.2306,1611032.0,97.83805290703272,388323.0
203,2011.0,META,224582.8,171241.0,1623897.2118,2389.1882,2022110.2,95.50902712320057,395823.8
204,2012.0,META,217421.8,178402.0,1624016.3238,2270.0762,2022110.2,90.66570445547825,395823.8
205,2013.0,META,233022.8,162801.0,1625787.1221999999,499.2778,2022110.2,88.13345531910286,395823.8
206,2014.0,META,252146.8,143677.0,1626113.6875999998,172.7124,2022110.2,85.24194313920927,395823.8
207,2015.0,META,312217.8,83606.0,1625735.507,550.893,2022110.2,94.76667082280132,395823.8
208,2016.0,META,112201.0,149382.0,1398355.554,208.446,1660147.0,95.16898671678399,269166.0
